PR #58 入れ込み測定レポート
実行時刻: 2026-08-03 22:25:55
リポジトリ: CHかんばんセット

日付=20260723 | セッション=2026-07-23 23:41:18 | 日野便=['11', '12'] | 山数=12 | メイン=12 | リリーフ=0 | あふれ=0 | 入れ込み=1
  !! 入れ込み: 便11の窓[07:00-09:33]に 便12 山12が09:12に開始
日付=20260723 | セッション=2026-07-23 23:45:19 | 日野便=['13', '14'] | 山数=9 | メイン=9 | リリーフ=0 | あふれ=0 | 入れ込み=1
  !! 入れ込み: 便13の窓[10:04-12:20]に 便14 山5が12:20に開始
日付=20260720 | セッション=2026-07-23 23:49:11 | 日野便=['13', '14'] | 山数=9 | メイン=8 | リリーフ=1 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便13の窓[10:04-12:23]に 便14 山2が12:10に開始
  !! 入れ込み: 便14の窓[12:10-12:54]に 便13 山2が12:10に開始
日付=20260724 | セッション=2026-07-24 01:09:42 | 日野便=['05', '06'] | 山数=12 | メイン=12 | リリーフ=0 | あふれ=0 | 入れ込み=5
  !! 入れ込み: 便05の窓[00:00-06:31]に 便06 山8が00:55に開始
  !! 入れ込み: 便05の窓[00:00-06:31]に 便06 山9が01:04に開始
  !! 入れ込み: 便05の窓[00:00-06:31]に 便06 山10が01:11に開始
  !! 入れ込み: 便05の窓[00:00-06:31]に 便06 山11が01:20に開始
  !! 入れ込み: 便05の窓[00:00-06:31]に 便06 山12が01:25に開始
日付=20260724 | セッション=2026-07-24 15:48:18 | 日野便=['09', '10'] | 山数=7 | メイン=7 | リリーフ=0 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便09の窓[07:34-07:51]に 便10 山3が07:51に開始
  !! 入れ込み: 便10の窓[07:00-07:57]に 便09 山1が07:34に開始
