山通番,パレット数,構成
122,3,日野|2026090802|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901; 日野|2026090802|07|Q10-D-25|617416014000|1|750|62.1901
123,3,日野|2026091007|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090802|28|C15-A-3|583114214100|1|750|313.7401
124,3,KVC|2026090902|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026090902|B7|L12-D-8|537224207090|1|515|194.1302
125,3,日野|2026090902|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026090902|06|Q10-A-13|486246006000|1|750|72.913; 日野|2026090902|07|Q10-B-7|616236014000|1|500|72.908
126,3,日野|2026090902|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026090902|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090902|07|Q10-D-25|617416014000|1|750|62.1901
127,3,日野|2026091207|07|Q10-D-23|617426014000|1|750|62.19; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026090902|28|C15-A-3|583114214100|1|750|313.7401
128,2,高岡|2026090902|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090902|K5|L12-C-5|537214206000|1|515|194.1301
129,1,KVC|2026082502|B7|L12-C-5|537214206090|1|515|194.1301
130,2,KVC|2026091002|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026091002|B7|L12-C-5|537214206090|1|515|194.1301
131,3,日野|2026091002|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091002|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091002|07|Q10-B-7|616236014000|1|500|72.908
132,3,日野|2026091002|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091002|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091002|07|Q10-D-25|617416014000|1|750|62.1901
133,3,日野|2026091207|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091002|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091002|61|C15-A-3|583114214100|1|750|313.7401
134,3,高岡|2026091002|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026091002|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026091002|K5|L12-D-8|537224207000|1|515|194.1302
135,1,高岡|2026091002|K5|L12-C-5|537214206000|1|515|194.1301
136,3,日野|2026090702|07|Q10-A-24|631426010000|1|1000|72.916; 織機|2026091007|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091007|28|C15-A-3|583114214100|1|750|313.7401
137,3,日野|2026091102|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091102|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091102|07|Q10-B-7|616236014000|1|500|72.908
138,3,日野|2026091102|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091102|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091102|07|Q10-D-25|617416014000|1|750|62.1901
139,3,日野|2026090702|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026090802|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091102|07|Q10-D-23|617426014000|1|750|62.19
140,4,日野|2026091102|07|Q10-B-1|617766003000|21|500|72.905; 日野|2026091102|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026091102|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090205|K5|C15-A-3|583114214100|1|750|313.7401
141,3,織機|2026091102|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091102|28|C15-A-3|583114214100|1|750|313.7401; 織機|2026091102|61|C15-A-3|583114214100|1|750|313.7401
142,1,高岡|2026090102|K5|C15-A-3|583114214100|1|750|313.7401
143,1,元町|2026082702|1W|N12-A-19|571121101000|1|800|168.3904
144,3,日野|2026091202|06|Q10-A-11|486226006000|1|750|72.911; 日野|2026091202|06|Q10-A-12|486236006000|1|750|72.912; 日野|2026091202|06|Q10-A-13|486246006000|1|750|72.913
145,3,日野|2026091202|06|Q10-A-10|486216006000|1|750|72.91; 日野|2026091202|07|Q10-B-5|616246010000|1|500|72.907; 日野|2026091202|07|Q10-B-7|616236014000|1|500|72.908
146,3,日野|2026091002|07|Q10-A-24|631426010000|1|1000|72.916; 日野|2026091202|07|Q10-D-23|617426014000|1|750|62.19; 日野|2026091202|07|Q10-D-25|617416014000|1|750|62.1901
147,1,高岡|2026083102|K5|C15-A-3|583114214100|1|750|313.7401
148,1,元町|2026091002|1W|N12-A-19|571121101000|1|800|168.3904
149,1,元町|2026090302|1W|N12-A-19|571121101000|1|800|168.3904
150,2,高岡|2026090302|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026090302|K5|L12-D-8|537224207000|1|515|194.1302
